,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
350,6C-R243,Race Car Driver,,,,
351,6C-R245,1,CHI: <this is cool> [?].,I,,['cool']
352,6C-R246,2,CHI: this is a race car thing.,L,,
353,6C-R247,3,CHI: and that's a race car and somebody going on a race and some more people going on a race &=points:picture.,P,,['more']
354,6C-R249,4,CHI: they they they well the race car between car that you try to win.,F,,
355,6C-R250,5,CHI: and and he's sixteen.,P,,
356,6C-R254,7,"CHI: zorg this is when you car and you play a sport and while it's not a sport like you, like hit balls while you go in cars called a race car.",F+T,,
357,6C-R255,8,"CHI: and, you and the car you go you go on roads try to win.",P+F,,
358,12C-R2,Baseball Player,,,,
359,12C-R4,1,CHI:        play baseball.,L,,
360,12C-R6,2,CHI:        I don't know about that.,I,,
361,12C-R25,Painter,,,,
362,12C-R30,3,CHI:        robins.,F,,
363,12C-R31,4,CHI:        and numbers.,F,,
364,12C-R39,7,CHI:        I don't know about that [?].,I,,
365,12C-R76,Baby,,,,
366,12C-R78,1,CHI:        a baby.,L,,
367,12C-R80,2,CHI:        she plays.,F,,
368,12C-R81,3,CHI:        and make bubbles.,F,,
369,12C-R83,4,"CHI:        and, wait I can make bubbles.",I+F,,
370,12C-R85,5,CHI:        I know &=laughs.,I,,
371,12C-R93,8,"CHI:        uh, she drinks bottles of milk.",F,,
372,12C-R95,9,CHI:        I love milk &=makes:slurping_noises.,I+F,,
373,12C-R219,Doctor,,,,
374,12C-R222,1,CHI:        &=shrugs  I don't know.,I,,
375,12C-R224,2,CHI:        &=shrugs I can't think what it is.,I,,
376,12C-R227,4,CHI:        no I don't know.,I,,
377,12C-R234,7,CHI:        &=shrugs I don't know what it's about.,I,,
378,12C-R280,Pirate,,,,
379,16C-R45,King,,,,
380,16C-R47,1,CHI:        a king.,L,,
381,16C-R49,2,CHI:        I don't know about kings.,I+L,,
382,16C-R50,3,CHI:        but they're royal.,P,,['royal']
383,16C-R55,4,CHI:        hm well I don't know about kings either.,L+I,,
384,16C-R57,5,CHI:        I don't really [?] know about kings.,L+I,,
385,16C-R58,6,CHI:        queens are royal too.,T+P,,['royal']
386,16C-R59,7,CHI:        I don't know any about queens and kings.,I+T+L,,
387,16C-R67,King,,,,
388,16C-R68,1,CHI:        I don't know what to say about the king.,L+I,,
389,16C-R82,Police Officer,,,,
390,16C-R84,1,CHI:        it's a police officer.,L,,
391,16C-R86,2,CHI:                  ⌊police⌋.,L,,
392,16C-R87,3,CHI:        police officers oh sorry.,L,,['sorry']
393,16C-R88,4,CHI:        police officers are are are very important.,I+L,important,['important']
394,16C-R89,5,CHI:        when you when you when you get lost um just just just ask a a police officer for help.,F+L,,
395,16C-R91,6,CHI:        hm I think that's all about police officers.,I+L,,
396,16C-R115,Weightlifter,,,,
397,16C-R117,1,CHI:        a man.,L,,
398,16C-R118,2,CHI:        naked but his legs are not naked.,P,naked,"['naked', 'naked']"
399,16C-R119,3,CHI:        looks like he's gonna do some exercisin(g).,I+F,,
400,16C-R121,4,"CHI:        he's exercising and and, I don't know.",F+I,,
401,16C-R125,6,CHI:        I think that's all about the man.,I+L,,
402,16C-R155,Surfer,,,,
